Date,Close,ETH_Close
11/9/2017,7143.580078,320.884003
11/10/2017,6618.140137,299.252991
11/11/2017,6357.600098,314.681
11/12/2017,5950.069824,307.90799
11/13/2017,6559.490234,316.716003
11/14/2017,6635.75,337.631012
11/15/2017,7315.540039,333.356995
11/16/2017,7871.689941,330.924011
11/17/2017,7708.990234,332.394012
11/18/2017,7790.149902,347.612
11/19/2017,8036.490234,354.385986
11/20/2017,8200.639648,366.730011
11/21/2017,8071.259766,360.401001
11/22/2017,8253.549805,380.652008
11/23/2017,8038.77002,410.165985
11/24/2017,8253.69043,474.911011
11/25/2017,8790.919922,466.276001
11/26/2017,9330.549805,471.329987
11/27/2017,9818.349609,480.355011
11/28/2017,10058.79981,472.902008
11/29/2017,9888.610352,427.52301
11/30/2017,10233.59961,447.114014
12/1/2017,10975.59961,466.540009
12/2/2017,11074.59961,463.449005
12/3/2017,11323.2002,465.852997
12/4/2017,11657.2002,470.20401
12/5/2017,11916.7002,463.281006
12/6/2017,14291.5,428.588013
12/7/2017,17899.69922,434.40799
12/8/2017,16569.40039,456.031006
12/9/2017,15178.2002,473.502014
12/10/2017,15455.40039,441.721008
12/11/2017,16936.80078,515.135986
12/12/2017,17415.40039,651.43103
12/13/2017,16408.19922,702.767029
12/14/2017,16564,695.815979
12/15/2017,17706.90039,684.447998
12/16/2017,19497.40039,696.208984
12/17/2017,19140.80078,719.974976
12/18/2017,19114.19922,794.64502
12/19/2017,17776.69922,826.822998
12/20/2017,16624.59961,819.085999
12/21/2017,15802.90039,821.062988
12/22/2017,13831.79981,674.859985
12/23/2017,14699.2002,719.387024
12/24/2017,13925.79981,694.14801
12/25/2017,14026.59961,765.833984
12/26/2017,16099.79981,773.835999
12/27/2017,15838.5,762.84198
12/28/2017,14606.5,737.02301
12/29/2017,14656.2002,753.59198
12/30/2017,12952.2002,717.257019
12/31/2017,14156.40039,756.732971
1/1/2018,13657.2002,772.640991
1/2/2018,14982.09961,884.44397
1/3/2018,15201,962.719971
1/4/2018,15599.2002,980.921997
1/5/2018,17429.5,997.719971
1/6/2018,17527,1041.680054
1/7/2018,16477.59961,1153.170044
1/8/2018,15170.09961,1148.530029
1/9/2018,14595.40039,1299.73999
1/10/2018,14973.29981,1255.819946
1/11/2018,13405.79981,1154.930054
1/12/2018,13980.59961,1273.199951
1/13/2018,14360.2002,1396.420044
1/14/2018,13772,1366.77002
1/15/2018,13819.79981,1291.920044
1/16/2018,11490.5,1053.689941
1/17/2018,11188.59961,1014.25
1/18/2018,11474.90039,1036.280029
1/19/2018,11607.40039,1039.099976
1/20/2018,12899.2002,1155.150024
1/21/2018,11600.09961,1049.579956
1/22/2018,10931.40039,1003.26001
1/23/2018,10868.40039,986.229004
1/24/2018,11359.40039,1058.780029
1/25/2018,11259.40039,1056.030029
1/26/2018,11171.40039,1055.170044
1/27/2018,11440.7002,1107.069946
1/28/2018,11786.29981,1246.01001
1/29/2018,11296.40039,1182.359985
1/30/2018,10106.29981,1071.130005
1/31/2018,10221.09961,1118.310059
2/1/2018,9170.540039,1036.790039
2/2/2018,8830.75,915.784973
2/3/2018,9174.910156,964.018982
2/4/2018,8277.009766,834.682007
2/5/2018,6955.27002,697.950989
2/6/2018,7754,793.122009
2/7/2018,7621.299805,757.067993
2/8/2018,8265.589844,817.807007
2/9/2018,8736.980469,883.86499
2/10/2018,8621.900391,860.414978
2/11/2018,8129.970215,814.659973
2/12/2018,8926.570313,868.70697
2/13/2018,8598.30957,845.257996
2/14/2018,9494.629883,923.560974
2/15/2018,10166.40039,936.976013
2/16/2018,10233.90039,944.210022
2/17/2018,11112.7002,974.11499
2/18/2018,10551.79981,923.921021
2/19/2018,11225.29981,943.86499
2/20/2018,11403.7002,895.370972
2/21/2018,10690.40039,849.971008
2/22/2018,10005,812.844971
2/23/2018,10301.09961,864.189026
